respondent_state,investor_home_state,economic_sector,summary_of_dispute,amount_claimed_musd,year,"Primary - A - Agriculture, forestry and fishing",Primary - B - Mining and quarrying,Secondary - C - Manufacturing,"Tertiary - D - Electricity, gas, steam and air conditioning supply","Tertiary - E - Water supply; sewerage, waste management and remediation activities",Tertiary - F - Construction,Tertiary - G - Wholesale and retail trade; repair of motor vehicles and motorcycles,Tertiary - H - Transportation and storage,Tertiary - I - Accommodation and food service activities,Tertiary - J - Information and communication,Tertiary - K - Financial and insurance activities,Tertiary - L - Real estate activities,"Tertiary - M - Professional, scientific and technical activities",Tertiary - N - Administrative and support service activities,Tertiary - O - Public administration and defence; compulsory social security,Tertiary - Q - Human health and social work activities,"Tertiary - R - Arts, entertainment and recreation",Tertiary - S - Other service activities
CRI,DEU,Tertiary - L - Real estate activities,,,2023,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
SAU,TUR,Tertiary - F - Construction,,,2023,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
VEN,NLD,Primary - B - Mining and quarrying,,,2023,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ARG,MYS,"Tertiary - F - Construction;
Tertiary - H - Transportation and storage",,,2023,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
HND,PAN,"Tertiary - D - Electricity, gas, steam and air conditioning supply",,,2023,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HND,MEX,Tertiary - K - Financial and insurance activities,,,2023,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
VEN,GBR,Secondary - C - Manufacturing,,,2023,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
DNK,GBR,Secondary - C - Manufacturing,,,2023,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
DEU,GBR,Secondary - C - Manufacturing,,,2023,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
,DEU; DNK; GBR,Secondary - C - Manufacturing,,,2023,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
NGA,KOR,Primary - B - Mining and quarrying,,,2023,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AZE,GBR,Tertiary - F - Construction,,,2023,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
BEL,LBY,Tertiary - K - Financial and insurance activities,,,2023,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
BIH,IND,Secondary - C - Manufacturing,,,2023,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SEN,FRA,Tertiary - F - Construction,,,2023,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
MEX,USA,Tertiary - H - Transportation and storage,,,2023,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
HND,GTM,"Tertiary - D - Electricity, gas, steam and air conditioning supply",,,2023,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CMR,ITA,Tertiary - F - Construction,,,2023,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
MAR,FRA,"Tertiary - E - Water supply; sewerage, waste management and remediation activities;
Tertiary - E - Water supply; sewerage, waste management and remediation activities",,,2023,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
VNM,CHN,Tertiary - F - Construction,,,2023,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
HND,USA,Tertiary - L - Real estate activities,"Claims arising out of the government’s actions to repeal the legal framework for special economic zones known as “ZEDE”, allegedly interfering with the Próspera ZEDE in which the claimant had invested.",,2023,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
CAN,USA,Secondary - C - Manufacturing,"Claims arising out of the government’s 2022 decision to refuse authorization for the construction of the Énergie Saguenay Project, a liquefied natural gas facility project that the claimant had invested in through Symbio. The government’s decision also allegedly stalled the claimant’s parallel natural gas pipeline project in Quebec (the Gazoduq Project). According to the claimant, the government’s rejection of the projects, after a federal agency’s environmental assessment report, and related actions by the province of Quebec were arbitrary and discriminatory.",,2023,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RUS,UKR,"Secondary - C - Manufacturing;
Tertiary - R - Arts, entertainment and recreation;
Tertiary - L - Real estate activities",,,2023,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
MEX,USA,Tertiary - H - Transportation and storage,,,2023,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
MEX,USA,Primary - B - Mining and quarrying,,,2023,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ITA,CHE,"Tertiary - D - Electricity, gas, steam and air conditioning supply",,,2023,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MMR,SGP,Tertiary - J - Information and communication,,,2023,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
TZA,GBR; MUS,Tertiary - I - Accommodation and food service activities,,,2023,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
PER,MEX,Tertiary - J - Information and communication,,,2023,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
DZA,CHE,Tertiary - H - Transportation and storage,,,2023,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
TUN,GBR,Primary - B - Mining and quarrying,,,2023,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AUS,SGP,Primary - B - Mining and quarrying,,,2023,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AUS,SGP,Primary - B - Mining and quarrying,,,2023,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ETH,NLD,Tertiary - K - Financial and insurance activities,,,2022,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
SVN,AUT,Tertiary - K - Financial and insurance activities,"Claims arising out of Slovenia’s 2022 law limiting and distributing currency risk among creditors and borrowers of loans in Swiss francs, which requires lenders to adjust CHF loan agreements concluded between 2004 and 2010.",,2022,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
ROU,CYP,"Tertiary - D - Electricity, gas, steam and air conditioning supply",,,2022,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MEX,USA,Tertiary - K - Financial and insurance activities,,,2022,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
PER,USA,Primary - B - Mining and quarrying,"Claims arising out of the decision of PeruPetro, a state-owned petroleum company, to conduct a public bidding process for operating Blocks III and IV of the Talara Basin crude oil reserve, which allegedly deprived the claimant’s company Baspetrol of its right to negotiate directly with PeruPetro. According to the claimant, Baspetrol was allegedly unfairly excluded from the bidding process and PeruPetro awarded the licences to local company Graña y Montero S.A., allegedly as part of a corruption scheme involving the then Government.",,2022,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
NOR,LTU,"Primary - A - Agriculture, forestry and fishing","Claims arising out of Government authorities’ interference with the claimant’s snow crab harvesting business, including through the arrest of the claimant’s fishing vessels “Jūros Vilkas” and the dispossession of the claimant’s fishing rights.",,2022,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SVN,GBR; MLT,Primary - B - Mining and quarrying,"Claims arising out of the Government’s 2022 mining law amendment banning the use of hydraulic stimulation for the exploration and exploitation of hydrocarbons, as well as an earlier decision to require the claimant’s joint venture to conduct an environmental impact assessment for the use of low-volume hydraulic stimulation at the Petišovci gas field.",,2022,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BGR,NLD,"Tertiary - D - Electricity, gas, steam and air conditioning supply",,,2022,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QAT,DZA; FRA,"Tertiary - M - Professional, scientific and technical activities",,,2022,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
PAN,USA,Tertiary - I - Accommodation and food service activities,,,2022,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
COL,GBR,Secondary - C - Manufacturing,,,2022,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ROU,GBR,Primary - B - Mining and quarrying,,,2022,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ECU,CHL,Primary - B - Mining and quarrying,Claims arising out of the alleged failure of state-owned mining company Enami EP to comply with mining cooperation agreements that were concluded with the claimant Codelco (Corporación Nacional del Cobre de Chile).,,2022,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MEX,USA,Primary - B - Mining and quarrying,Claims arising out of Mexican tax authorities’ non-payment of VAT refunds allegedly due to the claimant related to a royalty agreement between Coeur Mexicana and another company for the sale and purchase of Palmarejo gold production.,,2022,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MAR,ESP,"Tertiary - F - Construction;
Tertiary - L - Real estate activities","Claims arising out the Government’s alleged failure to provide the necessary facilities and infrastructure in the areas of the claimant’s residential construction projects near Rabat, as well as Government authorities’ administrative inaction related to a real estate project in Tangier.",,2022,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
MEX,NLD,"Tertiary - E - Water supply; sewerage, waste management and remediation activities","Claims arising out of Mexican state entities’ termination of a public-private partnership agreement with the claimant’s subsidiary, Aguas de Rosarito, related to the development of a seawater desalination plant.",,2022,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
SRB,CYP; CAN,Tertiary - L - Real estate activities,,,2022,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
IND,MUS,Tertiary - J - Information and communication,,,2022,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
MEX,USA,Tertiary - H - Transportation and storage,"Claims arising out of the Government’s revocation of two concession contracts related to metered parking systems granted in 2018 to Soluciones Pagomet, a local company in which the claimant held shares.",,2022,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
FRA,DEU,"Tertiary - D - Electricity, gas, steam and air conditioning supply",,,2022,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BGR,LTU,Primary - B - Mining and quarrying,"Claims arising out of the Government’s alleged wrongful acts and omissions related to the investments of the claimants’ late father Denis Jeršov in “Petrol” and “Petrol Holding”, including the Government’s failure to halt the fraudulent sale of Petrol shares to a third party. According to the claimants, this led to Jeršov’s loss of control over Petrol, the bankruptcy Petrol Holding and the destruction of Jeršov’s investments.",,2022,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
VEN,NLD,Secondary - C - Manufacturing,,,2022,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
VEN,ESP,Secondary - C - Manufacturing,,,2022,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
DZA,EGY,Secondary - C - Manufacturing,"Claims arising out of the Government’s measures related to the automotive industry, which allegedly damaged the claimant’s investments in the assembly and distribution of automotive vehicles.",,2022,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
IRQ,JOR,Secondary - C - Manufacturing,,,2022,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CZE,ISR,Tertiary - L - Real estate activities,Claims arising out of a court ruling which allegedly resulted in the expropriation of land plots intended for a development project in which the claimant had invested.,,2022,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
CRI,VEN,Tertiary - J - Information and communication,"Claims arising out of the decision by the national electricity and telecommunications provider, Instituto Costarricense de Electricidad, not to renew a contract for the distribution of mobile phone products concluded with the claimant’s local telecommunications company, V-NET. According to the claimant, the contract was arbitrarily transferred to a competitor of V-NET.",,2022,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
SWE,CHN,Tertiary - J - Information and communication,"Claims arising out of the alleged exclusion of Huawei Sweden from participation in an auction conducted by the national telecommunications regulator concerning licences for the Swedish 5G Network. According to the claimant, the mandatory requirements for auction participants included a prohibition to use any equipment or services from Huawei for 5G networks and phase out those in use for existing 3G and 4G networks by 2025.",,2022,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
KGZ,USA,Primary - B - Mining and quarrying,"Claims arising out of the Government’s 2019 decision to ban uranium mining, halting the claimant’s mining project at the Kamushanovskoye uranium deposit.",,2022,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
VNM,DEU; PRT,Tertiary - K - Financial and insurance activities,,,2022,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
VNM,USA,Tertiary - F - Construction,Claims arising out of government authorities’ conduct related to bankruptcy proceedings initiated against ITACO over debt allegedly owned to a third party by a subcontractor of ITACO that was involved in the construction of an industrial park.,,2022,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
ECU,CHN,Primary - B - Mining and quarrying,Claims arising out of the Government’s conduct related to local community protests and illegal mining activities in the Río Blanco mining concession area of the claimant’s local subsidiary as well as court proceedings suspending the claimant’s mining operations.,,2022,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ETH,ISR,Tertiary - F - Construction,,,2022,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
ECU,USA,"Tertiary - R - Arts, entertainment and recreation",,,2022,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
GNQ,FRA,Tertiary - H - Transportation and storage,,,2022,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
PAN,USA,"Tertiary - D - Electricity, gas, steam and air conditioning supply","Claims arising out of the Government’s 2017 termination of concession contracts for the construction and operation of three hydroelectric plants at the Gatú and Chorrillo rivers, in which the claimant had invested.",,2022,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
VEN,NLD,Tertiary - K - Financial and insurance activities,Claims arising out of the Government’s 2020 resolution placing the claimants’ insurance company Multinacional de Seguros under special administration.,,2022,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
BHR,MYS,Tertiary - K - Financial and insurance activities,,,2022,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
ALB,BGR,Tertiary - J - Information and communication,,,2022,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
PER,CAN,Tertiary - K - Financial and insurance activities,"Claims arising out of the constitutional court’s dismissal of a case brought by the claimant’s local subsidiary Scotiabank Peru challenging the accrual of default interest on long-disputed taxes imposed by Peru’s tax authority SUNAT. According to the claimant, the default interest was improperly applied on tax liabilities during a period of delay caused by the state in administrative proceedings.",,2022,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
UKR,CYP,"Tertiary - D - Electricity, gas, steam and air conditioning supply",,,2022,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
PAK,TUR,"Tertiary - E - Water supply; sewerage, waste management and remediation activities",,,2022,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
SAU,CHN,Tertiary - J - Information and communication,,,2022,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
ROU,NLD,Tertiary - F - Construction,,,2022,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
VNM,CHN,Tertiary - F - Construction,,,2022,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
IRQ,LBN,"Tertiary - D - Electricity, gas, steam and air conditioning supply",,,2022,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MDA,LIE,"Tertiary - D - Electricity, gas, steam and air conditioning supply",Claims arising out of government agencies’ alleged measures to restrict the claimants’ access to the country’s natural gas network and the setting of unfair tariffs for the claimants’ natural gas distribution service.,,2022,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
DOM,USA,Secondary - C - Manufacturing,,,2022,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TZA,CHE,Tertiary - I - Accommodation and food service activities,,,2022,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
COL,USA,Tertiary - H - Transportation and storage,,,2022,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
VEN,GBR,Tertiary - J - Information and communication,,,2022,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
PRT,MUS,Tertiary - K - Financial and insurance activities,"Claims arising out of the Government’s alleged failure to pay compensation owed to the claimants related to the government’s bailout and restructuring of Banco Espírito Santo, to which the claimants had provided loans.",,2022,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
SEN,MUS,"Tertiary - D - Electricity, gas, steam and air conditioning supply",,,2022,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SVN,LUX,Primary - B - Mining and quarrying,"Claims arising out of the Government’s alleged expropriatory and discriminatory treatment of the claimant’s investment in the coal mining company Premogovnik Velenje, under the management of the state-owned Holding Slovenske Elektrarne (HSE).",,2022,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TZA,DNK,"Primary - A - Agriculture, forestry and fishing",,,2022,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CAN,USA,Primary - B - Mining and quarrying,,,2022,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ESP,DEU,"Tertiary - D - Electricity, gas, steam and air conditioning supply",Claims arising out of a series of energy reforms undertaken by the Government affecting the renewables sector.,,2022,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
PAN,USA,"Tertiary - E - Water supply; sewerage, waste management and remediation activities",,,2022,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
CHL,FRA,Tertiary - F - Construction,"Claims arising out of the Government’s alleged refusal to renegotiate the terms of the concession contract held by the claimants’ joint venture company for the operation of Santiago’s international airport, including the government’s failure to compensate the concessionaire for economic losses in the context of the COVID-19 pandemic. According to the claimants, their investments suffered from decreased air traffic and commercial activities of the airport due to the COVID-19 pandemic and related government measures.",,2021,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
TUR,NLD,Primary - B - Mining and quarrying,"Claims arising out of the Government’s alleged non-renewal of the claimants’ mining licences and related permits for the Kirazlı gold mine development project, resulting in the suspension of construction activities on the Kirazlı project.",,2021,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MLT,CHN,Tertiary - K - Financial and insurance activities,"Claims arising out of the Government’s taking of control of Pilatus Bank, a bank owned by the claimant, and the revocation of its banking licence, among other alleged acts of mistreatment and discrimination by government officials.",,2021,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
COL,GBR,Primary - B - Mining and quarrying,"Claims arising out of an order of Colombia’s constitutional court to suspend Cerrejón’s partial modification of Bruno creek, a water stream that passes through the La Puente mining project area.",,2021,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SRB,CHE,Tertiary - J - Information and communication,"Claims arising out of Belgrade local authorities’ alleged infringement of Alma Quattro’s long-term exclusive contract for outdoor advertising services with the city of Belgrade. According to the claimants, the city of Belgrade violated this contract by granting a concession for the operation of digital advertising panels to a competitor in 2020.",,2021,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
EGY,FIN,"Primary - B - Mining and quarrying;
Secondary - C - Manufacturing",,,2021,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
PAK,TUR,Tertiary - F - Construction,,,2021,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
BHR,IRN,Tertiary - K - Financial and insurance activities,,,2021,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
COG,GBR,Primary - B - Mining and quarrying,"Claims arising out of the Government’s revocation of the exploitation permit held by Congo Mining, Midus’ local subsidiary, for the Mayoko-Moussondji iron ore project.",,2021,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
KOR,IRN,Secondary - C - Manufacturing,,,2021,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SVK,USA,Primary - B - Mining and quarrying,"Claims arising out of the Government’s alleged actions preventing drilling activities of the claimant’s subsidiary, Alpine Oil & Gas,  at three oil and gas wells despite granted exploration licences. According to the claimant, its planned drilling operations were rendered impossible by local activists’ protests blocking the well sites as well as local authorities’ decisions ordering full-scope environmental impact assessments.",,2021,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
IND,GBR,Primary - B - Mining and quarrying,,,2021,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
COG,MUS,Primary - B - Mining and quarrying,Claims arising out of the Government’s revocation of exploitation permits for two iron ore projects in which the claimant had invested.,,2021,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
PER,ESP,Primary - B - Mining and quarrying,Claims arising out of the Government’s alleged measure prohibiting the claimant from making overseas transfers of dividends from its investments in TGP.,,2021,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CRI,CHL,"Tertiary - D - Electricity, gas, steam and air conditioning supply",,,2021,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TUR,ITA,"Tertiary - D - Electricity, gas, steam and air conditioning supply",,,2021,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GTM,PAN,"Tertiary - D - Electricity, gas, steam and air conditioning supply","Claims arising out of the Government’s alleged failure to protect the claimant’s hydropower projects from local community protests, violent attacks and social unrest.",,2021,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GHA,CHN,Tertiary - F - Construction,"Claims arising out of the Government’s cancellation of a contract with the claimant to install an intelligent traffic management system, including alleged non-payment for works conducted by the claimant.",,2021,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
MAR,FRA,Tertiary - J - Information and communication,,,2021,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
MEX,USA,Primary - B - Mining and quarrying,"Claims arising out of state-owned oil company Pemex’s suspension of three oilfield service contracts concluded with the claimants as well as Mexico’s alleged failure to exercise regulatory control over Pemex. According to the claimants, they were treated arbitrarily and denied justice by Mexican courts.",,2021,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MEX,CAN,Primary - B - Mining and quarrying,"Claims arising out of the national tax authority’s actions to secure amounts allegedly owned by the claimant’s local subsidiary Primero pursuant to tax reassessments as well as the tax authority’s rejection of the claimant’s requests for the initiation of dispute resolution procedures under double taxation treaties. According to the claimant, the tax authority unlawfully opted to ignore advance pricing agreements it had signed with Primero related to the company’s silver sales.",,2021,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
