Country / Territory,ISO3,CPI 2024 score,Rank,,,,,,,,,,,,,,,,,,
Montenegro,MNE,46,65,,,,,,,,,,,,,,,,,,
Romania,ROU,46,65,,,,,,,,,,,,,,,,,,
Benin,BEN,45,69,,,,,,,,,,,,,,,,,,
Côte d'Ivoire,CIV,45,69,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,STP,45,69,,,,,,,,,,,,,,,,,,
Senegal,SEN,45,69,,,,,,,,,,,,,,,,,,
Jamaica,JAM,44,73,,,,,,,,,,,,,,,,,,
Kosovo,KSV,44,73,,,,,,,,,,,,,,,,,,
Timor-Leste,TLS,44,73,,,,,,,,,,,,,,,,,,
Bulgaria,BGR,43,76,,,,,,,,,,,,,,,,,,
China,CHN,43,76,,,,,,,,,,,,,,,,,,
Moldova,MDA,43,76,,,,,,,,,,,,,,,,,,
Solomon Islands,SLB,43,76,,,,,,,,,,,,,,,,,,
Albania,ALB,42,80,,,,,,,,,,,,,,,,,,
Ghana,GHA,42,80,,,,,,,,,,,,,,,,,,
Burkina Faso,BFA,41,82,,,,,,,,,,,,,,,,,,
Cuba,CUB,41,82,,,,,,,,,,,,,,,,,,
Hungary,HUN,41,82,,,,,,,,,,,,,,,,,,
South Africa,ZAF,41,82,,,,,,,,,,,,,,,,,,
Tanzania,TZA,41,82,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,TTO,41,82,,,,,,,,,,,,,,,,,,
Kazakhstan,KAZ,40,88,,,,,,,,,,,,,,,,,,
North Macedonia,MKD,40,88,,,,,,,,,,,,,,,,,,
Suriname,SUR,40,88,,,,,,,,,,,,,,,,,,
Vietnam,VNM,40,88,,,,,,,,,,,,,,,,,,
Colombia,COL,39,92,,,,,,,,,,,,,,,,,,
Guyana,GUY,39,92,,,,,,,,,,,,,,,,,,
Tunisia,TUN,39,92,,,,,,,,,,,,,,,,,,
Zambia,ZMB,39,92,,,,,,,,,,,,,,,,,,
Gambia,GMB,38,96,,,,,,,,,,,,,,,,,,
India,IND,38,96,,,,,,,,,,,,,,,,,,
Maldives,MDV,38,96,,,,,,,,,,,,,,,,,,
Argentina,ARG,37,99,,,,,,,,,,,,,,,,,,
Ethiopia,ETH,37,99,,,,,,,,,,,,,,,,,,
Indonesia,IDN,37,99,,,,,,,,,,,,,,,,,,
Lesotho,LSO,37,99,,,,,,,,,,,,,,,,,,
Morocco,MAR,37,99,,,,,,,,,,,,,,,,,,
Dominican Republic,DOM,36,104,,,,,,,,,,,,,,,,,,
Serbia,SRB,35,105,,,,,,,,,,,,,,,,,,
Ukraine,UKR,35,105,,,,,,,,,,,,,,,,,,
Algeria,DZA,34,107,,,,,,,,,,,,,,,,,,
Brazil,BRA,34,107,,,,,,,,,,,,,,,,,,
Malawi,MWI,34,107,,,,,,,,,,,,,,,,,,
Nepal,NPL,34,107,,,,,,,,,,,,,,,,,,
Niger,NER,34,107,,,,,,,,,,,,,,,,,,
Thailand,THA,34,107,,,,,,,,,,,,,,,,,,
Turkey,TUR,34,107,,,,,,,,,,,,,,,,,,
Belarus,BLR,33,114,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,33,114,,,,,,,,,,,,,,,,,,
Laos,LAO,33,114,,,,,,,,,,,,,,,,,,
Mongolia,MNG,33,114,,,,,,,,,,,,,,,,,,
Panama,PAN,33,114,,,,,,,,,,,,,,,,,,
Philippines,PHL,33,114,,,,,,,,,,,,,,,,,,
Sierra Leone,SLE,33,114,,,,,,,,,,,,,,,,,,
Angola,AGO,32,121,,,,,,,,,,,,,,,,,,
Ecuador,ECU,32,121,,,,,,,,,,,,,,,,,,
Kenya,KEN,32,121,,,,,,,,,,,,,,,,,,
Sri Lanka,LKA,32,121,,,,,,,,,,,,,,,,,,
Togo,TGO,32,121,,,,,,,,,,,,,,,,,,
Uzbekistan,UZB,32,121,,,,,,,,,,,,,,,,,,
Djibouti,DJI,31,127,,,,,,,,,,,,,,,,,,
Papua New Guinea,PNG,31,127,,,,,,,,,,,,,,,,,,
Peru,PER,31,127,,,,,,,,,,,,,,,,,,
Egypt,EGY,30,130,,,,,,,,,,,,,,,,,,
El Salvador,SLV,30,130,,,,,,,,,,,,,,,,,,
Mauritania,MRT,30,130,,,,,,,,,,,,,,,,,,
Bolivia,BOL,28,133,,,,,,,,,,,,,,,,,,
Guinea,GIN,28,133,,,,,,,,,,,,,,,,,,
Eswatini,SWZ,27,135,,,,,,,,,,,,,,,,,,
Gabon,GAB,27,135,,,,,,,,,,,,,,,,,,
Liberia,LBR,27,135,,,,,,,,,,,,,,,,,,
Mali,MLI,27,135,,,,,,,,,,,,,,,,,,
Pakistan,PAK,27,135,,,,,,,,,,,,,,,,,,
Cameroon,CMR,26,140,,,,,,,,,,,,,,,,,,
Iraq,IRQ,26,140,,,,,,,,,,,,,,,,,,
Madagascar,MDG,26,140,,,,,,,,,,,,,,,,,,
Mexico,MEX,26,140,,,,,,,,,,,,,,,,,,
Nigeria,NGA,26,140,,,,,,,,,,,,,,,,,,
Uganda,UGA,26,140,,,,,,,,,,,,,,,,,,
Guatemala,GTM,25,146,,,,,,,,,,,,,,,,,,
Kyrgyzstan,KGZ,25,146,,,,,,,,,,,,,,,,,,
Mozambique,MOZ,25,146,,,,,,,,,,,,,,,,,,
Central African Republic,CAF,24,149,,,,,,,,,,,,,,,,,,
Paraguay,PRY,24,149,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,23,151,,,,,,,,,,,,,,,,,,
Congo,COG,23,151,,,,,,,,,,,,,,,,,,
Iran,IRN,23,151,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,22,154,,,,,,,,,,,,,,,,,,
Honduras,HND,22,154,,,,,,,,,,,,,,,,,,
Lebanon,LBN,22,154,,,,,,,,,,,,,,,,,,
Russia,RUS,22,154,,,,,,,,,,,,,,,,,,
Cambodia,KHM,21,158,,,,,,,,,,,,,,,,,,
Chad,TCD,21,158,,,,,,,,,,,,,,,,,,
Comoros,COM,21,158,,,,,,,,,,,,,,,,,,
Guinea-Bissau,GNB,21,158,,,,,,,,,,,,,,,,,,
Zimbabwe,ZWE,21,158,,,,,,,,,,,,,,,,,,
Democratic Republic of the Congo,COD,20,163,,,,,,,,,,,,,,,,,,
Tajikistan,TJK,19,164,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,17,165,,,,,,,,,,,,,,,,,,
Burundi,BDI,17,165,,,,,,,,,,,,,,,,,,
Turkmenistan,TKM,17,165,,,,,,,,,,,,,,,,,,
Haiti,HTI,16,168,,,,,,,,,,,,,,,,,,
Myanmar,MMR,16,168,,,,,,,,,,,,,,,,,,
"Korea, North",PRK,15,170,,,,,,,,,,,,,,,,,,
Sudan,SDN,15,170,,,,,,,,,,,,,,,,,,
Nicaragua,NIC,14,172,,,,,,,,,,,,,,,,,,
Equatorial Guinea,GNQ,13,173,,,,,,,,,,,,,,,,,,
Eritrea,ERI,13,173,,,,,,,,,,,,,,,,,,
Libya,LBY,13,173,,,,,,,,,,,,,,,,,,
Yemen,YEM,13,173,,,,,,,,,,,,,,,,,,
Syria,SYR,12,177,,,,,,,,,,,,,,,,,,
Venezuela,VEN,10,178,,,,,,,,,,,,,,,,,,
Somalia,SOM,9,179,,,,,,,,,,,,,,,,,,
South Sudan,SSD,8,180,,,,,,,,,,,,,,,,,
